10000 10000
q 9796 2957
m 3693 3765
q 2656 5842
u 44 1455
u 7020 1000
m 3226 7222
q 9340 3145
u 8784 1482
m 3407 979
m 7170 4030
u 7980 2327
u 6416 9167
u 3572 409
u 6640 1500
u 4666 2498
u 7924 8595
q 7576 2435
q 1442 1088
u 9083 1669
m 5369 7040
u 1597 687
m 5313 573
u 8267 9913
u 7174 7696
m 3482 5865
u 9924 3327
u 5837 342
m 7310 2208
q 2807 5995
m 5610 849
u 5609 4847
m 2283 2156
q 8891 7527
u 2463 5350
u 763 2451
u 6723 4746
u 5995 429
m 670 9577
u 493 328
q 9516 7038
q 4906 9263
u 1998 4987
m 3034 2763
m 2483 3553
u 5632 3882
q 6592 753
m 9191 9851
q 2626 6532
u 7056 6103
u 5420 9584
q 3975 1805
m 6824 208
q 6546 6759
m 2084 7982
q 9827 2273
q 7881 5530
m 3122 997
q 9001 2111
q 4667 105
q 3486 6382
q 8267 3404
m 1170 688
u 3796 2370
q 703 1923
m 2284 3425
u 4452 4828
u 7495 1124
q 6420 4030
q 8413 2675
m 7668 2384
u 43 268
m 6099 2398
q 7110 9302
m 9295 2421
u 8728 7314
m 2443 9594
q 341 4791
q 4083 1202
q 6736 2253
q 9814 1521
m 4897 8898
u 6239 7059
u 2355 7242
u 1925 6614
q 4040 3351
q 7486 2371
u 7590 8372
m 3390 5807
u 4218 9410
m 7226 2009
m 3288 4678
q 2184 738
m 7592 9985
u 4276 8922
q 4394 8948
u 1406 5716
q 868 1879
m 472 1315
m 5794 7152
m 7401 6870
q 8398 2903
u 5542 8105
u 6915 3265
u 8784 3574
u 2417 1700
u 7923 6855
q 947 8423
q 6578 7078
u 8976 6925
u 3798 5820
u 1282 4370
u 1564 7124
u 3048 8222
u 488 9494
m 6203 1129
q 1213 5807
q 9659 8490
q 7787 4983
u 2721 9758
q 4671 5657
m 638 6972
m 1316 9019
m 5824 5591
q 7544 9607
q 424 3507
u 6076 1786
u 8215 2640
q 405 5257
m 5088 8773
u 3416 9432
u 6086 6325
u 2799 2127
q 7274 9348
u 3297 6159
u 8400 1716
m 7759 6321
m 7941 6165
q 1094 3038
q 8903 4823
u 9878 6082
m 7356 6968
q 9909 8217
q 600 3416
u 7023 330
q 7152 873
q 1266 8181
u 9643 502
m 7101 5590
q 1430 7932
u 3351 6422
m 2432 5164
q 5864 6245
q 1290 6479
u 9026 5470
u 335 8537
u 6666 6121
u 5176 5921
m 9045 7260
q 6597 6547
m 464 9311
u 7515 1879
q 2223 4423
q 2064 3181
q 8515 9684
q 3100 2711
m 5248 6126
q 8287 9472
u 3182 8877
q 5328 6006
q 3266 9894
u 3888 1694
u 1761 6346
q 3558 6403
m 4668 5303
u 6462 922
m 5548 367
u 6389 1614
q 8249 5483
q 5326 4188
u 911 6584
q 5062 6074
m 126 3452
u 2398 8713
q 3622 9616
m 3995 3095
q 7216 1889
m 5729 952
u 2410 4916
m 2883 3540
m 8716 9885
m 6418 6391
u 4089 2402
u 6257 8906
q 3593 396
q 5740 5749
m 7519 737
q 7777 7787
m 1793 803
u 6475 5393
u 1014 9221
m 2973 5473
q 8581 5307
q 7130 7448
m 81 4328
q 442 4731
m 9894 561
q 3585 5204
q 3086 1999
m 9459 3545
m 7545 7269
m 4466 9928
q 8929 9136
u 9351 9264
m 8507 9205
m 9879 8833
u 7700 7396
u 1675 3488
u 3371 9246
q 1586 7072
q 9812 4565
m 247 9659
u 7645 8119
q 1162 9770
m 9551 1006
m 8190 8312
q 818 674
m 2534 1416
u 1313 3171
m 9076 6461
q 6510 7288
q 17 4804
q 9333 6116
m 1929 8819
u 2650 264
m 5057 5184
q 1728 3675
u 9412 9467
u 4129 8275
q 5484 931
u 4322 7142
u 5958 9253
m 1279 3023
m 6113 4422
m 7517 762
u 196 249
q 1659 2398
q 6408 4161
u 8399 4126
m 504 9414
q 2269 4130
q 8814 6748
q 8756 7784
q 5949 6544
q 6708 4312
u 3400 4984
m 1052 2431
m 190 4590
q 8727 6550
u 6458 2116
q 1427 2901
u 242 4697
m 3700 3339
m 5644 9859
u 5975 7511
m 7870 1128
m 8718 5129
u 3665 772
m 1164 8764
m 5471 8399
m 4567 2841
q 7180 8306
q 1715 5680
q 2138 1184
q 3317 7908
q 6441 5426
q 5489 6883
m 6682 1378
u 9322 5490
m 5516 5556
m 3491 4329
u 1309 6757
m 1524 8905
u 6865 7273
m 6742 3944
u 3460 6079
q 7564 7211
q 504 8827
u 8412 5632
u 3965 9017
u 1971 3812
m 868 2403
m 2675 7603
q 6151 9129
q 8607 1878
q 6424 4172
m 8407 9883
m 266 5580
m 699 8108
m 2182 6542
m 1776 3561
u 6088 5924
u 885 9968
m 7644 3005
m 3950 5416
q 4635 901
q 6490 8993
q 9972 3128
u 5543 1142
m 6581 7302
m 5539 1724
u 1103 3350
u 8347 7859
m 102 2666
u 5916 3838
q 5559 6259
u 6966 9489
m 4278 9925
u 8930 5324
m 8247 7745
u 8892 1327
u 9704 8515
q 5778 4839
u 4720 9554
q 8203 6410
q 2702 6716
u 778 2535
m 6258 9867
u 4946 474
u 5975 8715
u 6127 4891
u 3947 7019
q 7175 2606
m 6890 5158
u 1270 8498
q 4504 3969
u 8574 4876
u 8710 2160
m 7831 7073
q 7295 5331
m 9309 912
q 2160 5233
q 6596 1242
m 8958 2468
q 3667 1687
u 1056 7327
u 8831 5166
u 6987 9286
m 4608 3359
q 3200 1965
u 370 8231
q 6688 9573
m 6888 3783
q 6970 5401
u 9233 236
u 7097 8445
u 4537 5638
m 1828 7628
q 2946 4857
u 6741 5370
m 4548 3185
q 6275 4018
q 6918 7666
q 6590 4854
m 1551 3653
q 2114 2496
q 3048 349
u 2957 4649
q 6752 8886
m 1750 7341
m 730 8882
q 8246 3808
u 6861 9548
m 8120 4961
m 39 5128
m 2564 2776
u 4648 4432
m 4005 5601
q 8731 9716
m 5675 6845
u 5857 9375
m 4029 7444
m 8952 4152
u 6655 1476
u 3883 4739
m 5358 1720
m 9131 6158
m 9133 3855
m 2888 9537
u 3253 9445
u 8323 569
q 6333 8343
u 7127 9116
u 9257 795
m 2618 5439
q 7657 6909
m 4547 9757
m 8108 1471
u 8085 1196
u 9766 4817
q 1263 9716
q 3863 2280
u 2398 5965
u 8869 9867
m 2677 7478
m 776 4528
q 5673 2992
u 3006 5552
q 5990 2060
u 1699 4109
u 2843 2637
u 5169 8757
q 419 8221
m 2714 2630
m 2479 5596
u 5809 2121
u 1682 3600
u 5106 682
m 3660 2939
u 5958 6614
m 3283 5322
u 4700 7172
u 4489 1025
m 7431 157
q 5978 6295
q 9301 8547
m 1609 3708
u 1305 7018
u 5199 5695
u 9011 7167
q 2106 2795
u 1472 9477
m 9448 1936
q 213 6349
m 8239 2065
q 7496 4736
q 4176 4763
m 8429 9194
q 470 7679
u 3975 6936
u 1864 8885
q 628 8301
q 5884 2629
q 2074 2347
q 3251 8148
q 8227 3054
q 9365 8429
u 1650 7216
u 5080 7867
u 8402 1885
u 304 4812
q 9698 9996
m 3080 8618
m 4263 2917
u 160 6414
q 7502 5641
m 7063 414
q 1924 4055
q 1134 5333
m 1387 2426
q 6750 5737
m 3604 5594
q 4066 2534
q 5798 2930
m 6566 4599
m 7740 9864
u 3305 3512
q 4603 9163
u 2105 5878
m 3923 7132
m 9097 9858
m 7356 1146
u 2667 697
q 6198 4990
u 4121 9464
q 7330 1864
m 6126 3520
q 5459 7561
u 7652 5385
q 2348 5765
u 4986 9838
m 1464 6331
u 5332 5536
u 7083 782
u 994 8607
u 3103 7619
u 2195 285
u 9071 7078
u 6074 5565
q 9344 2881
u 7989 9944
u 8297 7848
q 526 9271
u 683 7967
q 4971 2729
u 916 755
m 7750 9973
m 7144 4165
u 3481 8127
q 6378 1479
u 9998 6100
m 150 4625
q 1888 1492
u 8376 8932
q 4970 3314
u 1476 2973
u 814 8881
q 2229 4379
m 2878 7486
m 3031 9298
q 5273 3115
m 4398 8740
u 3811 8150
m 9217 1586
m 6691 6993
q 5278 1512
q 8348 1013
m 7491 9739
m 6432 1097
u 6469 3344
m 1168 9759
m 3191 3727
m 3451 1822
u 2224 498
q 7978 9652
m 3844 56
q 7695 2561
q 9799 9780
m 2260 406
u 5734 8080
q 9162 8081
u 6528 7585
u 9930 3760
q 1393 5430
u 4901 3793
q 8631 5649
u 3666 9357
u 4747 5460
m 8887 9772
u 8031 5838
q 976 9785
u 2299 3334
m 1344 2607
m 3617 3882
q 6719 9231
u 6266 380
u 1193 2620
m 8807 3749
m 9364 4294
u 3053 9768
q 9569 9230
m 1437 4371
m 1829 4914
m 6164 2603
q 8043 1750
m 8396 2738
m 9086 924
m 2906 1857
q 8827 3529
m 4187 6785
q 8091 8102
m 945 1525
q 4073 7612
m 9099 6693
u 1945 3159
u 6801 3158
m 5541 8645
m 3270 1998
u 6366 4358
q 6181 2497
q 9569 759
m 8556 9263
u 8529 5981
q 330 6624
u 9508 5985
m 8515 1154
m 6908 9813
u 2094 2055
u 4979 6652
u 3746 9842
u 7845 2753
q 7417 5095
q 7714 1960
u 2786 9803
m 6116 7968
m 8131 8914
u 9601 970
u 9544 2997
q 1510 5052
m 4745 5047
u 6235 4716
u 9994 7079
m 2535 2209
m 6485 3728
u 3872 7401
u 4117 8991
q 4247 9700
u 3217 3230
u 3915 732
q 6864 1557
q 6475 4601
u 4256 5182
m 9894 7852
m 840 3928
m 6667 3591
q 4081 8380
m 6914 3022
u 2287 3385
q 5924 1379
u 1753 8398
m 2987 9134
m 6539 8395
u 75 9311
q 6020 5411
q 5985 1875
m 7616 6501
u 9449 1063
q 5648 9601
m 2938 5463
q 7666 535
u 4462 8783
m 7247 2629
q 6763 7928
q 6930 3569
m 3094 3283
u 5630 4125
m 1789 167
m 8715 1770
m 9887 2979
u 8382 2570
q 7045 6914
m 4385 8276
m 4740 6066
q 7510 7993
m 6309 7176
u 7007 5733
q 4668 4226
m 8540 9016
m 1590 5792
u 2706 5802
u 3427 2839
u 9959 8668
m 3472 1214
q 6686 8236
m 4242 9678
m 3594 2121
m 4632 1628
u 7540 364
u 9073 1905
q 6855 7891
u 7392 5993
q 2181 6836
u 9682 7377
u 2534 8137
u 2358 4521
m 9551 299
m 4337 9655
q 1608 4104
u 2156 7504
m 1210 4771
u 9631 9393
u 9844 3333
u 6109 8068
u 6406 8999
m 7718 9820
u 8885 204
q 1719 7830
q 4204 1396
m 2334 5339
q 3367 1373
m 4508 8581
u 9831 6977
q 9286 3244
m 9604 2671
u 3275 792
u 4743 7041
u 534 3482
q 1399 8164
u 2708 1181
q 4569 9709
u 6408 4139
q 4388 6467
m 7874 2107
q 908 8023
m 5118 7151
m 3322 7964
q 6329 1161
m 3340 3778
u 6070 6587
u 8783 8718
m 3671 8881
u 524 5750
q 370 9865
u 7887 5195
m 1008 8172
q 219 5816
q 252 2853
q 2696 4597
u 3114 6035
q 221 6399
q 6879 6221
u 8908 7834
q 176 4984
m 4187 9738
m 1464 4749
u 2861 1122
u 42 215
q 1489 2917
u 3171 1373
m 5798 8321
u 9201 3156
q 3899 2019
q 3321 3313
q 836 5247
u 3657 8266
q 9333 4845
u 1374 292
m 1385 1372
m 8976 3637
u 2357 8641
m 1905 5561
q 1872 9369
q 2460 1765
u 4926 5391
m 7956 5463
m 5930 3562
q 5258 5864
q 4234 3589
m 147 8183
u 5003 542
q 1689 2379
m 940 4195
q 6121 9829
m 4362 4169
m 845 9317
q 3705 2545
q 5302 7255
u 3052 3248
u 6952 6216
q 9834 4421
u 533 8982
q 6100 8043
m 6987 5260
m 2711 4954
m 7105 143
q 9634 8161
m 1619 6625
q 4442 2738
q 8974 6605
q 3597 9157
u 3351 4186
u 23 2180
u 4669 1775
q 4069 2694
u 1206 4841
m 8124 9610
q 4641 9768
q 6833 9163
q 7382 2291
q 9378 9993
q 1575 5952
m 4859 8149
q 6368 6569
q 3350 3628
m 6186 6285
u 9899 1158
q 1136 5224
m 3965 3411
u 3180 7879
m 1823 3447
u 865 1894
u 7756 8813
u 4392 6958
q 9149 6415
q 2621 6225
u 7625 6270
m 7611 321
q 8378 2663
m 58 2894
q 4152 402
q 1098 4005
u 7394 930
u 9450 387
u 7821 6728
q 7639 9063
q 2396 417
u 9841 3433
q 4418 7554
q 1877 3719
q 7618 9804
q 9810 7913
m 2684 6145
q 7843 10
m 8946 4085
q 651 3402
u 2280 7606
q 8349 7620
q 3644 2014
m 869 8717
m 4372 9947
m 1925 4935
m 4369 3410
u 977 9998
m 4932 8873
q 6296 3283
u 4252 3176
m 709 8015
m 7356 4347
u 5796 3379
m 3928 9180
q 6829 6139
u 492 8457
u 8079 6761
u 165 6352
m 3124 2300
m 9027 6439
u 3546 2078
m 7360 5527
u 6906 3296
m 4987 8884
m 8540 4641
q 9959 9849
u 4264 9127
q 6134 5159
m 6547 6435
m 9806 90
u 5687 3658
m 9036 1884
q 3085 2291
q 8025 7564
m 5480 3697
u 1273 6422
u 4253 4740
m 9966 1421
u 9253 3660
m 2159 1604
u 7649 5313
q 142 9747
m 3981 2355
q 8492 4798
q 2663 8097
u 3704 588
u 2645 2484
m 944 4722
q 2775 4372
u 4402 6042
q 1538 8337
m 1174 2751
q 2115 4144
q 7949 3890
q 2460 8379
q 7829 8508
q 5586 1137
u 989 8333
m 7493 7479
m 5932 2361
m 5972 4837
q 1097 7887
m 191 676
q 9183 7675
m 1256 3785
u 9213 6429
q 5716 7438
u 7961 7758
q 7009 5882
q 3266 3476
q 5832 7611
q 935 4428
m 6127 9491
u 4159 7148
m 7266 3527
m 7413 9570
m 6785 3446
m 2294 690
m 7760 8294
q 4497 650
q 3247 7250
u 8677 9149
u 5232 190
q 9073 9772
m 3485 6009
m 4719 6655
q 5315 854
q 8699 2486
u 8707 3236
u 7167 6581
q 3365 7895
q 5944 6947
u 3746 2541
q 7393 6786
q 1184 101
m 5053 6383
m 2745 9807
q 8645 941
m 1959 3154
q 3375 4321
q 4381 5237
q 1833 8995
q 6214 4152
q 3961 8923
u 8366 2693
q 9002 1438
u 7039 8329
m 8980 4964
u 1405 416
u 4255 5420
q 3945 7245
m 3275 8717
u 3475 2096
u 6137 8708
u 3082 399
m 8337 1992
q 2181 2853
m 9027 5515
m 3580 8509
m 3944 9501
q 4716 2053
m 7514 9852
m 7187 9362
m 4553 4351
q 7816 615
u 1825 7550
m 6165 3417
m 4562 8036
u 3996 4739
m 7629 2775
q 6187 2392
q 7815 9050
u 3324 1457
u 3504 9046
m 7068 1231
m 8497 5582
u 3578 2995
m 4284 9829
m 6626 4868
q 4069 3774
q 6472 4089
q 7757 1285
u 8764 8645
u 9561 8391
q 5968 5961
q 587 8252
u 9275 8721
m 3105 1809
m 4951 560
u 355 6864
u 4113 6299
u 7994 9854
m 9703 7280
q 4506 4031
q 3692 2868
m 3640 6555
q 8611 879
u 1094 4495
q 1513 6411
q 8409 7254
m 988 800
u 4032 6087
q 5868 4636
m 3582 790
q 2203 5738
u 7281 6585
u 165 939
m 2523 8816
m 8031 5723
q 2128 9727
m 4405 9588
q 1171 1886
u 126 2959
q 5246 185
q 694 4233
q 8537 2115
m 8896 9
q 6567 8912
u 4128 5726
q 2510 3138
m 3741 8358
q 4381 1532
m 8944 796
u 2731 6501
m 8913 2562
q 5146 1753
u 764 7337
m 179 1202
m 6350 1248
m 3738 4801
u 5035 1688
q 2768 8576
m 5959 8819
m 9355 4011
q 9832 5803
u 2624 912
q 5285 59
m 410 152
u 9533 937
q 1874 8511
q 5865 4454
q 5683 8309
q 8485 9365
u 2250 3584
u 8074 4716
m 5885 5940
q 2882 8933
q 54 1630
q 8512 9133
m 664 3309
m 6917 9924
q 3107 248
m 1734 8834
u 1836 4345
m 3301 5022
m 4232 2542
u 7574 2214
u 8887 9927
m 5199 5389
m 9014 8656
u 5894 6520
q 4827 4160
u 2020 8556
u 3874 2719
u 3896 6903
u 9641 8060
q 777 2047
q 6535 724
q 326 7170
m 8982 3919
m 7553 2645
m 7476 7237
m 5365 9890
q 9921 4357
m 4381 6420
u 902 5774
m 7704 349
q 6902 1778
m 8700 8327
q 587 3492
q 4461 4097
q 8459 3454
q 9846 6446
u 5452 9981
u 1676 1746
m 4460 5621
u 602 9003
u 5981 8181
u 8034 2185
u 8429 1285
u 9489 6284
q 1883 6930
q 8502 3026
q 9443 6935
m 994 6146
u 3642 9615
u 75 2233
q 8664 5496
q 7069 4358
q 6145 2990
q 9436 2633
m 8369 506
u 9803 9658
u 1788 4015
u 9677 6506
m 7110 5899
q 2811 187
q 3828 3766
u 2789 2830
u 246 3183
m 400 7241
m 2470 9393
q 3073 3183
q 1067 6384
q 3087 4792
u 6774 2719
m 4571 4128
u 8105 2491
u 8125 719
m 3910 1301
u 6914 8838
q 5479 9086
m 8877 5043
m 3185 1027
m 7611 6841
m 3408 9956
q 5552 391
q 2597 7788
q 6556 8996
m 354 539
q 94 2106
m 5338 2475
m 8433 5918
q 7192 965
q 2505 2933
q 6165 4681
q 4878 7067
m 9165 9282
u 5081 1880
u 1904 1235
u 4941 3163
m 2727 759
u 7803 600
m 3297 1217
q 5321 9894
m 3670 2991
u 9067 9087
u 8604 6858
m 2560 6089
m 7520 2150
u 6105 9943
u 9807 8459
m 5728 1849
u 9522 1390
m 7680 5101
m 2657 4623
m 3152 4923
q 1981 2578
q 5066 2215
m 7472 513
q 4183 4980
m 803 6112
q 4680 6441
u 3517 6950
m 1249 5307
u 165 7532
m 5879 3490
q 2028 4206
q 597 1280
m 4675 5831
u 5764 6134
q 7269 3761
m 9051 5616
q 2423 7638
u 7384 8095
m 6265 8063
m 994 271
u 6213 9862
q 9847 2797
q 7803 5672
m 5671 8442
q 4635 5892
q 7387 5295
u 2900 4083
u 8953 6815
m 5066 6594
m 3990 790
q 5065 1571
u 8258 2626
q 3910 9565
m 1485 3357
q 3413 2908
u 1784 2294
q 2216 8756
m 1433 1694
m 5958 4523
m 7417 7389
m 9078 3547
m 6575 6348
u 5646 4684
q 3516 6773
m 7267 9925
u 3096 8864
q 6367 7373
m 3851 3961
u 3968 2184
m 9507 1115
m 1498 9896
u 8342 4392
q 823 9041
u 5375 2320
q 2542 4871
u 8299 9533
u 7592 8576
m 7805 5139
m 2513 9961
m 5562 4675
m 138 1238
m 939 2410
m 325 2569
q 6268 3211
q 4408 4706
m 404 8822
u 6273 5671
m 8043 1461
m 6429 2050
m 8347 2165
m 97 486
u 8244 7536
q 2645 6142
q 4143 1168
q 5909 2685
m 8848 7991
u 2426 1145
m 7473 1397
u 6299 5122
m 7274 9601
q 4704 9017
m 649 3496
u 1136 3160
u 3731 189
q 2198 1613
q 9423 5971
q 737 7122
q 6857 6623
q 562 3605
q 9950 3326
m 2545 7656
u 9629 4498
m 3263 4613
u 2699 3013
m 1440 3423
m 7291 5490
u 6173 4539
q 7419 7901
u 8688 4478
u 700 7758
m 5918 3335
q 7307 9627
m 9708 3188
u 3375 4144
u 6256 7042
m 210 5882
u 1950 9454
u 3742 8226
m 9172 3118
m 378 3502
m 9012 684
q 7876 7062
u 8770 3573
m 2821 7233
u 8119 315
q 1220 616
u 4719 9206
m 9234 6434
m 9921 1862
u 7020 7532
u 661 3217
q 231 3501
m 4322 142
u 6432 5783
u 4389 5643
q 1633 5891
m 8550 2113
q 9787 1699
q 5699 2821
u 4975 9936
q 5166 8607
q 6535 924
u 6950 4351
q 8789 4314
u 4064 2256
u 9557 6569
m 1538 7889
m 3589 5269
u 1989 7642
q 544 3216
u 7484 6561
m 2480 824
u 4086 1623
m 116 1362
u 3811 4728
u 3523 1203
q 5083 2156
u 3908 4920
u 781 3911
m 3541 2137
q 9433 2893
q 5921 6703
u 2957 7919
m 5813 4604
q 3022 133
m 3021 2366
q 1591 85
u 4650 7425
m 6068 153
u 1575 7162
u 453 6044
q 970 2296
u 8391 1684
q 2328 8059
q 7649 9636
q 3205 8528
m 1355 2070
q 9923 8583
q 4056 8280
u 674 6990
m 262 191
u 1060 8832
q 8832 782
u 143 4048
q 6782 5216
u 9351 3699
u 6701 1214
u 3711 7418
m 9656 2297
m 5345 4998
q 3950 3293
m 1844 9380
m 406 453
u 9347 3302
m 2566 9483
q 6613 5750
m 4371 7514
q 5106 7604
m 3490 2831
m 2594 1577
m 7813 69
q 6811 4643
q 7567 1452
q 6923 6884
m 886 2491
u 6603 1656
q 8077 4517
u 9766 1016
u 2616 7715
m 4533 4709
q 5292 8323
u 9191 800
m 9645 9271
q 5252 3019
u 1497 2079
m 3939 7857
m 7383 1234
m 3512 5363
m 4462 7859
u 9942 5825
m 3514 2668
m 4453 6000
m 1579 5827
q 43 9871
m 9139 1065
m 6591 9388
u 253 8496
u 7154 5960
m 3963 5352
u 8537 212
q 273 5124
m 7892 3401
q 8885 5393
q 3332 9674
q 701 6113
q 587 3182
q 473 5181
q 8701 9054
u 1700 1532
m 7269 4782
m 4372 9698
q 5894 2897
m 1820 9311
m 1696 1577
m 9653 6431
u 7166 7247
q 7126 7091
m 9224 7047
m 2974 2698
u 5188 9023
q 8784 4548
q 9123 2181
u 2428 7409
m 4990 6482
m 371 5765
q 6390 9831
u 4492 790
q 304 5404
m 7004 2764
q 9033 3390
q 2259 5949
m 7920 1515
u 4898 8513
q 6190 5948
m 3649 9351
q 7726 2331
u 2187 1320
m 5431 9011
q 7691 2393
q 6872 5146
u 9699 2933
q 6990 8510
q 9098 7631
u 5874 1958
u 7122 3510
m 3367 8226
m 1084 4691
u 6365 1399
q 4897 6548
u 9529 4318
q 1582 9938
m 2406 9187
q 337 8907
u 1090 690
u 9132 5206
m 9591 2790
u 576 3969
m 400 9911
u 8670 9223
q 4003 6692
m 225 9322
m 8516 8339
u 2343 9939
u 7122 4164
m 191 4785
m 1642 1598
q 6932 9861
q 5364 8225
q 4982 1563
m 924 670
q 6759 3050
q 4521 5687
m 7605 1629
q 7501 2228
u 8039 4438
m 9351 8991
q 7644 7478
q 5914 5594
q 1437 9950
q 8348 4512
u 5974 7630
q 2147 8866
u 8628 4520
m 1579 2731
m 7500 5109
u 1904 7011
u 6228 4469
u 9164 3019
u 7599 48
u 9126 458
u 6612 9464
q 6467 4606
m 3495 8246
m 9473 8596
q 9571 2727
u 2442 4971
u 9780 2641
q 7141 6108
q 2155 2262
q 866 6762
m 5432 6135
q 6966 5117
q 9578 2235
u 6412 9265
q 6663 3600
q 7950 7533
q 9142 7636
q 8302 5097
m 5269 25
u 4820 3883
q 6979 830
m 9545 1541
u 5587 4974
m 4642 7471
m 330 8231
m 4559 9555
u 4061 3823
m 8615 6165
u 2865 8732
q 8632 3418
m 6843 4001
u 7332 2878
q 6075 6133
q 8253 2312
u 4298 7372
u 7788 4908
q 3171 8564
m 6614 4749
u 9390 2924
q 7259 4112
m 9025 6470
q 9877 496
q 4095 1657
u 8191 2601
u 6913 6713
u 2206 8933
m 2805 9705
u 7852 291
q 9107 4916
u 6293 4849
m 4969 9117
q 7298 2146
q 4779 8637
q 5871 5283
u 8082 9328
m 5313 8274
u 6719 4636
u 2444 3303
q 401 3683
q 2998 9732
m 2400 2309
m 4505 8849
u 5009 7390
m 7862 4703
u 5374 2187
u 5100 4236
m 5318 6920
q 2735 9608
u 4195 4664
u 1937 1318
u 3977 8959
q 7063 4648
u 7347 9298
q 9513 2704
u 8182 3707
u 4309 6753
q 6134 624
q 8889 9790
u 2362 724
u 7108 6020
q 7851 3970
q 5288 8513
m 4165 4236
u 4526 2938
m 6658 7528
q 1273 4197
q 5968 7567
q 8366 7045
m 3356 4881
u 9857 323
u 5394 9326
m 3094 6187
m 1931 3340
q 554 3932
u 9229 4963
u 4968 4279
u 9929 4469
m 5341 3847
u 3704 2326
u 2808 9140
m 4607 3773
m 7894 4928
u 8625 8966
u 4599 3790
u 1212 9173
u 8233 8631
m 3001 1962
q 9235 4175
u 1686 1419
m 7018 825
m 7972 5567
q 770 443
m 4377 8507
u 8258 8982
q 4675 9700
m 1766 913
q 7826 5866
m 4437 2679
q 1112 2248
m 2899 9798
m 9968 532
u 5960 9635
m 5582 7421
u 4549 6071
q 1071 9807
u 5319 4582
m 5354 9341
q 1349 931
q 249 1023
q 8668 6037
q 9306 5218
u 4722 556
m 5426 2448
m 6963 2393
u 1 4523
m 5461 704
u 4840 6155
u 5330 607
q 1380 9971
q 1925 9728
q 3869 2328
m 5854 1761
u 396 7987
m 2146 4612
q 7769 266
m 3184 4156
u 33 1423
q 3701 3520
u 4616 8593
u 9118 8998
m 3447 6982
u 2141 8704
u 8724 2545
m 5949 3026
q 7632 9130
u 7182 6516
q 5288 3048
u 5020 5659
m 2197 3559
u 4634 400
m 9529 7013
u 3492 5938
q 8314 712
u 4170 6507
u 3178 5773
q 307 4445
m 6038 4765
q 2110 9993
m 9620 1648
m 2543 2133
u 324 1136
q 6824 6735
q 471 3169
u 2175 5923
q 3249 2958
q 5247 1563
q 3240 875
q 6493 7679
m 8906 2059
m 6840 8486
m 7840 3495
q 7104 9453
m 3721 9590
q 8264 7183
u 6726 7138
m 6589 4270
q 9011 6115
m 3917 9789
q 242 6836
m 3701 4536
q 9642 206
u 9459 3737
u 3638 6996
q 9313 4234
m 6547 9204
u 2586 2318
m 6465 8720
q 6258 5575
m 7115 1078
u 8797 5702
m 3739 1521
q 6237 421
u 6467 8399
m 471 2873
q 9296 7827
m 6363 7289
m 2685 6956
u 8278 237
m 9650 4298
m 3430 5130
m 5769 7698
u 4314 7853
u 8886 9433
u 9398 4665
q 105 131
m 9327 1952
m 4369 1589
u 324 8465
u 2086 4722
q 1438 4847
m 4472 3135
q 7022 8888
q 692 9358
u 2379 7018
q 7067 7559
q 385 7960
m 5569 963
u 2704 4384
m 4373 436
m 9628 6035
q 5469 4962
m 416 5137
q 441 8921
m 2647 8026
u 655 250
u 4206 5578
u 9075 1834
q 5676 3570
u 3644 5192
m 8355 7284
u 2081 9940
m 8678 2219
m 1341 4706
q 1383 4210
m 502 2115
q 4622 5605
m 2500 4010
u 9920 3165
q 3442 2325
m 1677 504
q 2642 2901
q 1310 3718
u 9304 6117
u 5987 1351
u 7520 7698
u 1696 9919
q 324 8203
m 7085 6858
u 5760 8735
q 6727 5118
q 9584 5046
u 9212 1854
q 4216 7214
u 8721 824
m 6731 4148
m 5322 6338
q 1315 9375
u 5737 9485
q 334 4721
m 8448 4279
u 2956 1823
m 4434 3438
m 9540 3764
u 1210 3837
u 5663 2838
u 7931 2672
m 3963 8176
u 4691 9309
q 5157 9958
m 7573 4484
q 1236 1999
u 9525 8255
u 1844 6118
q 7416 6429
m 6284 2865
q 6080 4754
q 6858 4550
m 6460 1588
m 1534 9882
q 9539 8042
m 1132 9509
u 4108 9220
m 3327 3618
u 6128 5251
q 4727 5670
q 5181 4037
q 5549 8815
u 5890 168
m 4123 6808
m 9509 4208
q 4635 8966
u 2769 9431
m 9799 5341
m 2415 5062
q 4996 8998
u 3038 3355
q 2844 2826
q 723 7748
m 5523 2222
q 5825 430
q 9834 9444
q 3819 2863
q 1428 749
u 7063 2979
m 7209 9651
u 2920 4417
q 9954 2336
q 9169 1508
m 6685 2743
u 8380 8902
q 3125 6130
q 2591 9750
u 9474 7121
q 6410 5677
m 3150 3588
q 7635 2942
u 8088 9813
u 5792 4582
q 1913 5172
m 3242 6903
m 8835 8723
m 4989 5212
q 2968 2755
q 5149 1467
u 3033 8700
q 6693 8376
q 5023 3095
u 2189 6434
q 6561 377
q 2650 1370
u 56 2295
u 3316 8947
u 7261 15
q 1021 156
u 2045 6317
u 4000 9053
q 6188 4471
m 2603 5997
u 9092 7358
q 818 8042
u 1318 4625
m 2220 4719
u 835 4926
u 2076 5288
m 7757 9423
q 4605 4614
m 9945 2872
m 4497 3084
q 3956 7592
u 6165 3222
m 4302 5266
q 1454 3933
u 4983 491
u 6589 7616
u 8735 2869
u 8254 8625
q 3312 8283
q 2001 7104
u 17 9810
